"CourseName","Department"
"DAN 204 - Tap Dance II","Dance"
"DAN 205 - Musical Theatre Styles II","Dance"
"DAN 208 - Choreography","Dance"
"DAN 266 - The Art of Dance","Dance"
"DAN 280 - Topics in Dance","Dance"
"DAN 305 - Dance and Health","Dance"
"DAN 410 - Student Dance Project","Dance"
"ECO 101 - Introduction to Macroeconomics","Economics"
"ECO 102 - Introduction to Microeconomics","Economics"
"ECO 103 - Critical Thinking About Economic Issues","Economics"
"ECO 120 - Lying with Graphs: Reading, Writing and Interpreting Graphs in the Social Sciences","Economics"
"ECO 220 - U.S. Economic and Labor History","Economics"
"ECO 234 - Political Economy in Popular Song","Economics"
"ECO 301 - Intermediate Macroeconomics","Economics"
"ECO 302 - Intermediate Microeconomics","Economics"
"ECO 304 - Research Methods in Economics","Economics"
"ECO 305 - Econometrics","Economics"
"ECO 310 - Money and Banking","Economics"
"ECO 312 - U.S. Economic Policy","Economics"
"ECO 315 - Economic Development","Economics"
"ECO 316 - Case Studies in International Development","Economics"
"ECO 321 - Understanding Contemporary Capitalism","Economics"
"ECO 326 - Environmental Economics","Economics"
"ECO 327 - Natural Resource Economics","Economics"
"ECO 329 - Community Economic Development and Well-Being","Economics"
"ECO 333 - Economics and Happiness","Economics"
"ECO 335 - The Political Economy of Food","Economics"
"ECO 370 - International Economics","Economics"
"ECO 399 - Special Topics in Economics","Economics"
"ECO 400 - Capstone in Economics","Economics"
"ECO 405 - Internship","Economics"
"ECO 490 - Independent Readings and Research in Economics","Economics"
"EDU 100 - Exploring Teaching as a Profession","Education"
"EDU 222 - Foundations of Language and Literacy Development","Education"
"EDU 225 - Multicultural Child and Adolescent Development","Education"
"EDU 230 - Teaching Through the Arts","Education"
"EDU 300 - Educational Media and Technology","Education"
"EDU 305 - Foundations of Cultural and Linguistic Diversity","Education"
"EDU 310 - Education, Schooling, and Democracy","Education"
"EDU 336 - Children’s Literature","Education"
"EDU 401 - Secondary Science Methods for All Students","Education"
"EDU 402 - Secondary English Methods","Education"
"EDU 403 - World Language Methods for all Learners","Education"
"EDU 404 - Secondary Social Studies Methods for All Students","Education"
"EDU 410 - Creating Culturally Responsive Classrooms","Education"
"EDU 414 - Improving Teaching in the Content Areas through Literacy for All Students","Education"
"EDU 442 - Professional Seminar in Teaching","Education"
"EDU 445 - Internship in General Education","Education"
"EDU 446 - Planning and Assessment I","Education"
"EDU 447 - Planning and Assessment II","Education"
"EDU 451 - Elementary Social Studies Methods for All Students","Education"
"EDU 452 - Teaching Elementary Science to All Students","Education"
"EDU 454 - Secondary Mathematics Methods for All Students","Education"
"EDU 465 - Teaching Reading for All Students in Grades K-6","Education"
"EDU 466 - Teaching Writing for All Students","Education"
"ELE 172 - Digital Logic","Electrical Engineering"
"ELE 179 - Digital Logic Laboratory","Electrical Engineering"
"ELE 216 - Circuits I: Steady-State Analysis","Electrical Engineering"
"ELE 217 - Circuits II: System Dynamics","Electrical Engineering"
"ELE 219 - Circuits Laboratory","Electrical Engineering"
"ELE 262 - Physical Electronics","Electrical Engineering"
"ELE 271 - Microprocessor Systems","Electrical Engineering"
"ELE 314 - Signals and Systems","Electrical Engineering"
"ELE 323 - Electromechanical Energy Conversion","Electrical Engineering"
"ELE 342 - Electronics I: Devices and Circuits","Electrical Engineering"
"ELE 343 - Electronics II: Electronic Design","Electrical Engineering"
"ELE 351 - Electromagnetic Fields","Electrical Engineering"
"ELE 427 - Energy and Power Systems","Electrical Engineering"
"ELE 452 - Antennas","Electrical Engineering"
"ELE 467 - Optoelectronics","Electrical Engineering"
"ELE 471 - Real-Time and Embedded Systems","Electrical Engineering"
"ELE 473 - Computer Architecture and Organization","Electrical Engineering"
"ELE 483 - Communications Engineering","Electrical Engineering"
"ELE 486 - Digital Signal Processing","Electrical Engineering"
"ELE 487 - Digital Image Processing","Electrical Engineering"
"ELE 489 - Analog and Digital Signals Laboratory","Electrical Engineering"
"ENG 100 - College Writing","English"
"ENG 101 - Independent Writing","English"
"ENG 102 - Academic Writing","English"
"ENG 140 - Reading Literature","English"
"ENG 201 - Creative Writing","English"
"ENG 204 - Professional Writing","English"
"ENG 205 - Sentence Style","English"
"ENG 220 - World Masterpieces I","English"
"ENG 245 - Introduction to Literary Studies","English"
"ENG 300 - Fiction Writing","English"
"ENG 301 - Poetry Writing","English"
"ENG 302 - Fiction Workshop","English"
"ENG 303 - Poetry Workshop","English"
"ENG 304 - Advanced Memoir","English"
"ENG 305 - Rhetoric, Syntax, and Style","English"
"ENG 306 - Writing the Novel","English"
"ENG 307 - Topics in Professional Writing","English"
"ENG 308 - Writing Center Practicum","English"
"ENG 310 - Topics in Journalism","English"
"ENG 319 - Studies in Genre and Form","English"
"ENG 321 - Modernisms","English"
"ENG 322 - Modern Autobiography","English"
"ENG 328 - Modern Novel: Themes and Methods","English"
"ENG 334 - Topics in Literacy Studies","English"
"ENG 337 - Studies in Rhetoric","English"
"ENG 341 - Contemporary Critical Theories","English"
"ENG 342 - Topics in Contemporary Theory","English"
"ENG 344 - Sex/Gender and Sexuality","English"
"ENG 347 - Topics in Cultural Studies","English"
"ENG 348 - Topics in Interdisciplinary Studies","English"
"ENG 351 - Chaucer and the Medieval World","English"
"ENG 360 - Shakespeare","English"
"ENG 361 - Shakespeare","English"
"ENG 366 - Studies in the Restoration and Eighteenth Century","English"
"ENG 370 - Literature of Discovery, Exploration, and Colonialism","English"
"ENG 371 - Romantic Writing","English"
"ENG 373 - Studies in Romantic Literature and Culture","English"
"ENG 377 - Studies in Nineteenth-Century British Literature and Culture","English"
"ENG 380 - Early Nineteenth-Century American Literature and Culture","English"
"ENG 382 - The Earlier American Novel","English"
"ENG 383 - Studies in African-American Literature and Culture","English"
"ENG 384 - Late Nineteenth-Century American Literature and Culture","English"
"ENG 385 - Studies in Nineteenth-Century American Literature and Culture","English"
"ENG 387 - Women Writers Since 1900","English"
"ENG 393 - The American Novel Since 1900","English"
"ENG 394 - Studies in American Literature and Culture Since 1900","English"
"ENG 396 - James Joyce","English"
"ENG 398 - Studies in British Literature and Culture Since 1900","English"
"ENG 400 - Independent Study in Creative or Expository Writing","English"
"ENG 401 - Creative Writing Minor Thesis","English"
"ENG 409 - Internship in Professional Writing","English"
"ENG 419 - Seminar in Genre and Form","English"
"ENG 441 - Seminar in Literary Criticism and Theory","English"
"ENG 444 - Independent Study in Interdisciplinary and Cultural Studies","English"
"ENG 445 - Seminar in Interdisciplinary and Cultural Studies","English"
"ENG 450 - Independent Study in Medieval Studies","English"
"ENG 456 - Seminar in the Renaissance","English"
"ENG 466 - Seminar in the Eighteenth Century","English"
"ENG 475 - Independent Study in the Nineteenth Century","English"
"ENG 476 - Seminar in Nineteenth-Century Studies","English"
"ENG 491 - Seminar in Literature Since 1900","English"
"ESL 006 - Intensive Grammar","English as Second Language"
"ESL 007 - Listening and Oral Communication/US Culture","English as Second Language"
"ESL 008 - Reading, Writing & Vocabulary","English as Second Language"
"ESL 009 - Intensive Reading and Speaking Fluency","English as Second Language"
"ESL 016 - Intensive Grammar","English as Second Language"
"ESL 017 - Listening and Oral Communication/US Culture","English as Second Language"
"ESL 018 - Reading, Writing & Vocabulary","English as Second Language"
